Country,Singapore,Singapore,Singapore,Singapore,Singapore,Thailand,Thailand,Thailand,Thailand,Thailand
Made On Date,Gross Reservations,Gross Reservations with Vouchers,Merchants,Reservations with 30%+ Discounts,Same day Dining Bookings,Gross Reservations,Gross Reservations with Vouchers,Merchants,Reservations with 30%+ Discounts,Same day Dining Bookings
01-01-2015,17,0,13,17,15,79,0,30,72,47
02-01-2015,18,0,13,16,13,85,0,33,79,54
03-01-2015,16,0,8,11,9,75,0,33,69,47
04-01-2015,10,0,9,9,8,79,0,35,69,62
05-01-2015,14,0,11,10,9,55,0,22,52,22
06-01-2015,7,0,5,5,3,46,0,23,41,25
07-01-2015,15,0,10,14,4,68,0,32,56,38
08-01-2015,21,0,12,18,8,63,0,34,50,36
09-01-2015,10,0,9,7,6,70,0,32,65,28
10-01-2015,30,0,19,24,23,97,0,44,83,69
11-01-2015,14,0,11,11,10,72,0,32,65,48
12-01-2015,10,0,5,6,2,55,0,23,42,37
13-01-2015,10,0,7,9,6,76,0,31,70,47
14-01-2015,14,0,8,11,7,48,0,23,40,26
15-01-2015,12,0,8,11,5,63,0,26,53,33
16-01-2015,11,0,10,9,5,54,0,27,49,20
17-01-2015,17,0,10,15,7,96,0,39,85,64
18-01-2015,11,0,9,8,7,83,0,40,80,58
19-01-2015,9,0,7,9,4,58,0,29,52,26
20-01-2015,4,0,4,3,2,61,0,32,55,31
21-01-2015,30,0,17,25,14,66,0,23,61,26
22-01-2015,17,0,13,13,6,55,0,27,49,20
23-01-2015,19,0,14,13,14,81,0,40,72,37
24-01-2015,34,0,19,31,21,110,0,44,98,81
25-01-2015,21,0,16,18,14,75,0,34,64,54
26-01-2015,10,0,9,9,5,53,0,30,48,21
27-01-2015,16,0,12,13,5,59,0,30,50,27
28-01-2015,5,0,3,2,2,55,0,25,44,29
29-01-2015,15,0,12,11,7,61,0,31,55,27
30-01-2015,9,0,5,4,6,85,0,36,70,42
31-01-2015,21,0,14,18,15,102,0,50,87,73
01-02-2015,17,0,14,13,11,86,0,38,74,62
02-02-2015,9,0,7,6,2,51,0,24,49,17
03-02-2015,28,0,18,19,11,57,0,31,51,30
04-02-2015,12,0,8,10,7,52,0,27,42,30
05-02-2015,21,0,16,15,10,42,0,25,39,23
06-02-2015,23,0,15,16,11,73,0,37,58,34
07-02-2015,28,0,19,21,14,109,0,44,102,70
08-02-2015,32,0,18,25,18,85,0,43,76,66
09-02-2015,29,0,15,18,2,56,0,30,49,23
10-02-2015,16,0,14,9,5,70,0,34,63,30
11-02-2015,22,0,17,17,10,76,0,39,59,39
12-02-2015,10,0,8,5,6,82,0,30,77,32
13-02-2015,29,0,21,20,17,96,0,40,83,38
14-02-2015,26,0,19,22,23,156,0,63,134,100
15-02-2015,23,0,17,23,13,108,0,36,100,81
16-02-2015,12,0,12,12,5,60,0,34,56,34
17-02-2015,15,0,12,9,12,50,0,29,43,30
18-02-2015,6,0,5,6,0,61,0,40,52,36
19-02-2015,2,0,2,2,1,56,0,33,45,28
20-02-2015,19,0,15,15,9,97,0,43,83,54
21-02-2015,19,0,14,17,13,122,0,48,114,81
22-02-2015,9,0,9,7,5,79,0,49,73,64
23-02-2015,11,0,7,9,8,54,0,29,51,22
24-02-2015,15,0,12,13,7,68,0,34,62,40
25-02-2015,15,0,15,12,12,64,0,36,61,31
26-02-2015,21,0,15,17,7,50,0,33,48,29
27-02-2015,18,0,14,14,11,84,1,38,77,50
28-02-2015,36,0,23,33,15,97,1,45,88,65
01-03-2015,15,0,12,14,12,106,0,51,99,70
02-03-2015,14,0,8,11,7,74,0,30,70,33
03-03-2015,10,0,10,8,5,67,0,43,56,38
04-03-2015,22,0,15,16,13,102,0,46,96,76
05-03-2015,21,0,15,18,8,60,0,28,56,29
06-03-2015,18,0,15,16,10,94,0,45,81,51
07-03-2015,25,0,20,21,20,124,1,50,118,84
08-03-2015,29,0,24,25,27,123,1,46,107,88
09-03-2015,16,0,13,14,10,71,0,34,66,41
10-03-2015,15,0,13,13,8,63,0,32,59,39
11-03-2015,15,0,13,10,13,92,1,33,86,39
12-03-2015,27,0,20,25,18,99,1,39,85,61
13-03-2015,18,0,16,15,12,92,1,40,84,53
14-03-2015,38,0,25,35,28,120,0,47,100,83
15-03-2015,28,0,17,24,21,110,0,51,90,88
16-03-2015,13,0,10,10,10,75,0,30,67,39
17-03-2015,12,0,9,10,8,178,77,65,164,57
18-03-2015,11,0,11,8,7,83,0,37,75,56
19-03-2015,23,0,15,19,14,66,0,43,61,36
20-03-2015,35,0,24,31,16,115,0,47,104,70
21-03-2015,29,0,18,22,25,155,0,56,145,100
22-03-2015,41,0,30,30,32,140,1,52,122,106
23-03-2015,17,0,15,17,10,81,0,37,75,42
24-03-2015,26,0,19,18,14,75,0,23,64,34
25-03-2015,20,0,11,17,14,78,0,40,67,47
26-03-2015,17,0,13,12,8,60,0,31,57,27
27-03-2015,20,0,16,16,13,125,7,52,102,69
28-03-2015,47,0,27,40,35,129,1,57,113,84
29-03-2015,20,0,16,16,17,86,3,43,78,71
30-03-2015,19,0,14,17,15,84,0,39,78,47
31-03-2015,20,0,14,16,10,100,0,41,91,52
01-04-2015,22,0,18,19,12,99,0,47,83,58
02-04-2015,35,0,24,30,23,68,0,34,62,39
03-04-2015,43,0,28,38,21,85,0,45,75,55
04-04-2015,43,0,29,35,36,138,0,54,130,95
